scenario,runs,avg_demand_units,avg_sold_units,avg_stockout_units,avg_revenue,avg_ending_inventory_units,avg_service_level_pct,baseline_avg_sold_units,baseline_avg_stockout_units,baseline_avg_revenue,baseline_avg_ending_inventory_units,baseline_service_level_pct,optimizer_revenue_lift_pct,service_level_delta_pp,stockout_reduction_pct
festive,10,23472.1,610.0,22862.1,14522600.0,0.0,2.5989153639268885,606.0,22866.1,14343000.0,0.0,2.5818732959667123,1.252178763159728,0.017042067960176155,0.01749314487384801
high_demand,10,7605.1,610.0,6995.1,14522600.0,3.3,8.021349114868874,606.0,6999.1,14343000.0,0.7,7.96875010427957,1.252178763159728,0.052599010589304385,0.05715020502635726
low_demand,10,3714.4,610.0,3104.4,14522600.0,133.7,16.422994418320314,606.0,3108.4,14343000.0,54.1,16.315302651642803,1.252178763159728,0.10769176667751168,0.1286835671084785
normal,10,5575.7,610.0,4965.7,14522600.0,25.8,10.940906725432663,606.0,4969.7,14343000.0,4.8,10.869163074774088,1.252178763159728,0.07174365065857558,0.08048775580015155
