category,observations,MAE,RMSE,WAPE,Bias
Entry,900,0.5780555555555555,1.3584866989084254,0.5945714285714285,-0.15805555555555556
Budget,1200,0.6714583333333334,1.2059963032005252,0.6916309012875537,-0.03145833333333333
Keypad,400,0.39875,0.7524958471646206,0.8179487179487179,0.0725
Mid-range,1300,0.42903846153846154,0.8529642881874229,0.8620556414219475,0.036730769230769234
Premium,700,0.20107142857142857,0.5126088734531008,0.8742236024844721,-0.024642857142857143
Upper-mid,1000,0.302,0.6099180272790763,1.055944055944056,0.0175
Flagship,500,0.059,0.19364916731037085,1.9666666666666666,0.018
